,번호,발생시각,규모,깊이(km),최대진도,위도,경도,위치
0,402,2023-07-29 19:07:59,3.5,6,Ⅴ,35.80,127.53,전북 장수군 북쪽 17km 지역
2,400,2023-07-17 10:37:10,2.4,13,Ⅲ,35.31,128.58,경남 함안군 동북동쪽 16km 지역
7,395,2023-06-17 22:34:38,2.1,30,Ⅰ,37.86,129.50,강원 동해시 북동쪽 50km 해역
8,394,2023-06-16 06:03:01,3.1,25,Ⅰ,34.02,124.80,전남 신안군 흑산도 남서쪽 92km 해역
9,393,2023-06-13 14:23:07,2.0,21,Ⅱ,35.07,128.50,경남 창원시 마산합포구 남남서쪽 15km 해역
11,391,2023-06-05 12:42:18,2.1,5,Ⅲ,35.77,127.18,전북 완주군 남쪽 15km 지역
13,389,2023-05-22 03:39:18,2.3,28,Ⅰ,37.87,129.52,강원 동해시 북동쪽 52km 해역
15,387,2023-05-15 06:27:37,4.5,31,Ⅲ,37.87,129.52,강원 동해시 북동쪽 52km 해역
16,386,2023-05-14 08:35:25,3.1,30,Ⅰ,37.86,129.51,강원 동해시 북동쪽 51km 해역
17,385,2023-05-10 16:32:10,2.5,16,Ⅱ,37.49,129.12,강원 동해시 남쪽 4km 지역
18,384,2023-05-10 13:29:35,2.2,5,Ⅱ,38.13,127.09,경기 연천군 북북동쪽 4km 지역
19,383,2023-05-10 01:53:36,2.5,15,Ⅱ,37.49,129.14,강원 동해시 남남동쪽 4km 지역
20,382,2023-05-08 21:12:05,2.1,23,Ⅰ,37.87,129.51,강원 동해시 북동쪽 52km 해역
21,381,2023-05-08 19:51:34,2.5,17,Ⅲ,37.49,129.13,강원 동해시 남남동쪽 4km 해역
23,379,2023-04-30 19:03:29,3.1,6,Ⅳ,36.32,127.75,충북 옥천군 동쪽 16km 지역
24,378,2023-04-28 23:39:24,2.6,27,Ⅰ,37.88,129.51,강원 동해시 북동쪽 53km 해역
25,377,2023-04-26 12:15:24,2.0,27,Ⅰ,37.87,129.52,강원 동해시 북동쪽 52km 해역
26,376,2023-04-26 06:51:41,2.2,28,Ⅰ,37.86,129.51,강원 동해시 북동쪽 51km 해역
27,375,2023-04-25 15:55:55,3.5,33,Ⅰ,37.86,129.49,강원 동해시 북동쪽 50km 해역
28,374,2023-04-25 13:22:40,2.7,12,Ⅲ,36.66,128.12,경북 문경시 북서쪽 10km 지역
29,373,2023-04-25 12:02:50,3.1,28,Ⅱ,37.87,129.52,강원 동해시 북동쪽 52km 해역
30,372,2023-04-25 05:03:39,2.3,25,Ⅰ,37.88,129.54,강원 동해시 북동쪽 54km 해역
31,371,2023-04-24 21:50:59,2.4,27,Ⅰ,37.87,129.52,강원 동해시 북동쪽 52km 해역
32,370,2023-04-24 21:41:25,2.1,27,Ⅰ,37.87,129.53,강원 동해시 북동쪽 53km 해역
33,369,2023-04-24 13:02:10,2.9,31,Ⅰ,37.85,129.47,강원 동해시 북동쪽 48km 해역
34,368,2023-04-23 21:06:40,2.7,27,Ⅰ,37.87,129.52,강원 동해시 북동쪽 52km 해역
35,367,2023-04-19 00:45:07,2.6,14,Ⅰ,33.09,125.42,제주 서귀포시 서쪽 108km 해역
36,366,2023-04-13 05:27:51,2.1,-,Ⅰ,35.11,125.05,전남 신안군 흑산도 북서쪽 59km 해역
37,365,2023-04-12 22:45:46,2.1,7,Ⅱ,38.13,127.09,경기 연천군 북북동쪽 4km 지역
40,362,2023-03-30 05:47:56,2.9,22,Ⅰ,35.64,125.22,전북 군산시 어청도 남서쪽 86km 해역
41,361,2023-03-25 18:35:48,2.4,-,Ⅰ,37.19,125.27,인천 옹진군 연평도 남서쪽 65km 해역
42,360,2023-03-23 08:35:53,2.0,16,Ⅰ,33.56,125.66,제주 제주시 서쪽 81km 해역
43,359,2023-03-22 02:09:17,2.0,24,Ⅰ,35.03,124.43,전남 신안군 흑산도 서북서쪽 99km 해역
