usim	manufacturer	latitude	longitude	address	facility_type	floor	notice
01231322634 (44)	우리넷	37.462	126.918	서울 관악구 신림동 667-78	SKT1	[지상] 5/7층	환풍기옆 벽면.
01231321743 (171)	엔티모아	37.474	126.952	서울 관악구 봉천동 1592-9	SKT1	[지상] 4/6층	분전반 옆
01227587411 (210)	우리넷	35.869	128.546	대구 서구 평리동 1542-8	SKT1	[지상] 4/4층	안쪽 배풍기 옆
01227587886 (212)	우리넷	35.946	128.549	대구 북구 읍내동 1285-23	SKT1	[지상] 1/3층	분전반 하단벽면
01227587639 (218)	우리넷	36.099	128.537	경북 칠곡군 가산면 석우리 900-1	SKT1	[지상] 1/1층	통신접지단자반 아래콘센트
01231322132 (220)	엔티모아	37.58	129.111	강원 동해시 대진항길 61	해양경찰청	[지상] 1층/1층층	묵호파출소 대진출장소
01232971975 (221)	엔티모아	34.975	128.323	경남 고성군 고성읍 성내리 2-17	우정사업본부	[지상] 1/3층	고성우체국
01227587154 (222)	우리넷	35.976	128.555	경북 칠곡군 동명면 구덕리 734-6	SKT1	[지상] 1/1층	벽면 콘센트
01227587389 (223)	우리넷	35.99	129.223	경북 경주시 안강읍 양월리 1357-14	SKT1	[지상] 3/3층	출입문 정면 급기 옆
01227587481 (224)	우리넷	35.892	129.05	경북 경주시 서면 아화리 389-11	SKT1	[지상] 4/4층	입구 정면 콘센트설치
01227587846 (225)	우리넷	35.84	128.61	대구 수성구 중동 416-8	SKT1	[지상] 4/8층	하론앞
01227587849 (226)	우리넷	35.84	128.61	대구 수성구 중동 416-8	SKT2	[지상] 7/8층	타이머 제거 후 취부
01227587328 (227)	우리넷	35.913	128.641	대구 동구 불로동 28-3	SKT1	[지상] 4/5층	AC분전함 콘센트 장착
01227579483 (229)	우리넷	35.879	128.399	대구 달성군 하빈면 하산리 1077-3	SKT1	[지상] 2/3층	기지국 실내 벽부
01227587392 (233)	우리넷	35.966	129.415	경북 포항시 남구 오천읍 세계리 857-16	SKT1	[지상] 4/4층	오천세계W 기지국
01227587621 (234)	우리넷	36.119	128.124	경북 김천시 모암동 160-14	SKT1	[지상] 4/5층	화장실 입구 옆 벽면
