,usim,manufacturer,latitude,longitude,address,facility_type,floor,notice,geometry,sigungu
0,01231322634,우리넷,37.462,126.918,서울 관악구 신림동 667-78,SKT1,[지상] 5/7층,환풍기옆 벽면.,POINT (948530.6864161714 1940469.5156257208),관악구
1,01231321743,엔티모아,37.474,126.952,서울 관악구 봉천동 1592-9,SKT1,[지상] 4/6층,분전반 옆,POINT (951545.2557711184 1941782.8009521489),관악구
2,01227587411,우리넷,35.869,128.546,대구 서구 평리동 1542-8,SKT1,[지상] 4/4층,안쪽 배풍기 옆,POINT (1094430.819558124 1764108.8685115285),서구
3,01227587886,우리넷,35.946,128.549,대구 북구 읍내동 1285-23,SKT1,[지상] 1/3층,분전반 하단벽면,POINT (1094609.9462729983 1772652.5145732653),북구
4,01227587639,우리넷,36.099,128.537,경북 칠곡군 가산면 석우리 900-1,SKT1,[지상] 1/1층,통신접지단자반 아래콘센트,POINT (1093346.9620758768 1789611.8124787842),칠곡군
5,01231322132,엔티모아,37.58,129.111,강원 동해시 대진항길 61,해양경찰청,[지상] 1층/1층층,묵호파출소 대진출장소,POINT (1142249.200819786 1954621.6087888428),동해시
6,01232971975,엔티모아,34.975,128.323,경남 고성군 고성읍 성내리 2-17,우정사업본부,[지상] 1/3층,고성우체국,POINT (1075123.8393835584 1664764.9334354554),고성군
7,01227587154,우리넷,35.976,128.555,경북 칠곡군 동명면 구덕리 734-6,SKT1,[지상] 1/1층,벽면 콘센트,POINT (1095115.124071554 1775985.9414953485),칠곡군
8,01227587389,우리넷,35.99,129.223,경북 경주시 안강읍 양월리 1357-14,SKT1,[지상] 3/3층,출입문 정면 급기 옆,POINT (1155316.8031185488 1778396.8808459237),경주시
9,01227587481,우리넷,35.892,129.05,경북 경주시 서면 아화리 389-11,SKT1,[지상] 4/4층,입구 정면 콘센트설치,POINT (1139893.4239299009 1767264.264219802),경주시
10,01227587846,우리넷,35.84,128.61,대구 수성구 중동 416-8,SKT1,[지상] 4/8층,하론앞,POINT (1100245.3405867075 1760955.9368451876),수성구
11,01227587849,우리넷,35.84,128.61,대구 수성구 중동 416-8,SKT2,[지상] 7/8층,타이머 제거 후 취부,POINT (1100245.3405867075 1760955.9368451876),수성구
12,01227587328,우리넷,35.913,128.641,대구 동구 불로동 28-3,SKT1,[지상] 4/5층,AC분전함 콘센트 장착,POINT (1102950.5909412764 1769085.2507969833),동구
13,01227579483,우리넷,35.879,128.399,대구 달성군 하빈면 하산리 1077-3,SKT1,[지상] 2/3층,기지국 실내 벽부,POINT (1081149.3772880821 1765086.0358004724),달성군
14,01227587392,우리넷,35.966,129.415,경북 포항시 남구 오천읍 세계리 857-16,SKT1,[지상] 4/4층,오천세계W 기지국,POINT (1172678.5119463115 1776057.5138782267),포항시 남구
15,01227587621,우리넷,36.119,128.124,경북 김천시 모암동 160-14,SKT1,[지상] 4/5층,화장실 입구 옆 벽면,POINT (1056155.3644647808 1791512.660479622),김천시
16,01227587626,우리넷,36.577,128.576,경북 안동시 풍산읍 하리리 234-1,SKT1,[지상] 1/2층,풍산하리W 기지국 실내입구 좌측 벽면,POINT (1096267.622598096 1842672.9559254998),안동시
17,01227587738,우리넷,36.241,128.3,경북 구미시 선산읍 완전리 200-2,SKT1,[지상] 2/3층,선산완전W,POINT (1071882.7913209198 1805161.0831410561),구미시
18,01227587438,우리넷,35.988,129.356,경북 포항시 남구 연일읍 오천리 396-27,SKT1,[지상] 4/5층,연일오천W 기지국,POINT (1167311.340500904 1778395.154521337),포항시 남구
19,01227587446,우리넷,35.843,129.181,경북 경주시 충효동 2961-3,SKT1,[지상] 1/4층,경주충효W,POINT (1151811.1653464532 1762024.3368605692),경주시
